movie_name,director,cast_name,country_name,subgenre_name
Alien Dead,Fred Olen Ray,"Buster Crabbe, Ray Roberts, Linda Lewis",United States,"Horror
"
Altered States,Ken Russell,"William Hurt, Blair Brown, Bob Balaban",United States,"Horror
"
Aquanauts,Igor Voznesenskiy,"German Poloskov, Aleksandr Yakovlev, Iren Azer",Soviet Union,"
"
Battle Beyond the Stars,Jimmy Murakami,"George Peppard, Robert Vaughn, Richard Thomas",United States,"Space opera
"
Be Forever Yamato,"Toshio Masuda, Leiji Matsumoto","Kei Tomiyama (voice), Yōko Asagami (voice), Shūsei Nakamura (voice)",Japan,"Anime film
"
Contamination,Luigi Cozzi,"Ian McCulloch, Louise Marleau, Marino Masé",ItalyWest Germany,"Horror
"
Crazy Thunder Road,Sōgo Ishii,"Tatsuo Yamada, Masamitsu Ohike, Koji Nanjo",Japan,"
"
Cyborg 009: Legend of the Super Vortex,Masayuki Akehi,"Kazuhiko Inoue (voice), Fuyumi Shiraishi (voice), Keiichi Noda (voice)",Japan,"Anime film
"
Death Ray on a Coral Island,Hongmei Zhang,"Qi Qiao, Zhiao Ling, Zhen Qiao",China,"[1][2][3]
"
Death Watch,Bertrand Tavernier,"Romy Schneider, Harvey Keitel, Harry Dean Stanton",FranceWest Germany,"
"
The Empire Strikes Back,Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher",United States,"Space opera[nb 1]
"
The Final Countdown,Don Taylor,"Kirk Douglas, Martin Sheen, Katharine Ross",United States,"Alternate history
"
Flash Gordon,Mike Hodges,"Sam J. Jones, Melody Anderson, Max von Sydow",United KingdomUnited States,"Space opera
"
Galaxina,William Sachs,"Stephen Macht, Avery Schreiber, J. D. Hinton",United States,"Science fantasy, comedy
"
Golem,Piotr Szulkin,"Marek Walczewski, Krystyna Janda, Joanna Zólkowska",Poland,"
"
Hangar 18,James L. Conway,"Darren McGavin, Robert Vaughn, Gary Collins",United States,"
"
Nightmare City,Umberto Lenzi,"Hugo Stiglitz, Laura Trotter, Maria Rosaria Omaggio",ItalySpain,"Horror
"
Phoenix 2772,Taku Sugiyama,"Kaneto Shiozawa (voice), Keiko Takeshita (voice), Hiroshi Ôtake (voice)",Japan,"Anime film
"
The Return,Vladimir Tarasov,"Viktor Balashov (voice), Aleksandr Kaydanovskiy (voice), Vasiliy Livanov (voice)",Soviet Union,"Animated short film. Russian title: Возвращение, tr. Vozvrashcheniye[4][5][6][7][8][9][10][11]
"
Saturn 3,Stanley Donen,"Farrah Fawcett, Kirk Douglas, Harvey Keitel",United Kingdom,"
"
Somewhere in Time,Jeannot Szwarc,"Christopher Reeve, Jane Seymour, Christopher Plummer",United States,"Romance
"
Star Inspector,"Mark Kovalyov, Vladimir Polin","Vladimir Ivashov, Yuriy Gusev, Timofey Spivak",Soviet Union,"
"
Superman II,Richard Lester,"Gene Hackman, Christopher Reeve, Ned Beatty",United KingdomUnited States,"Superhero
"
Toward the Terra,Hideo Onchi,"Junichi Inoue (voice), Masaya Oki (voice), Kumiko Akiyoshi (voice)",Japan,"Anime film
"
