movie_name,director,cast_name,country_name,subgenre_name
Virus,Kinji Fukasaku,"Masao Kusakari, Tsunehiko Watase, Isao Natsuyagi",Japan,"Post-apocalyptic
"
Without Warning,Greydon Clark,"Jack Palance, Martin Landau, Tarah Nutter",United States,"Horror
"
Adieu Galaxy Express 999,Rintaro,"Masako Nozawa (voice), Masako Ikeda (voice), Kaneta Kimotsuki (voice)",Japan,"Anime film
"
The Cabbage Soup,Jean Girault,"Louis de Funès, Jean Carmet, Jacques Villeret",France,"
"
Earthbound,James L. Conway,"Burl Ives, Christopher Connelly, Meredith MacRae",United States,"
"
Escape from New York,John Carpenter,"Kurt Russell, Lee Van Cleef, Ernest Borgnine",United States,"
"
Galaxy of Terror,B. D. Clark,"Edward Albert, Erin Moran, Ray Walston",United States,"
"
Heartbeeps,Allan Arkush,"Andy Kaufman, Bernadette Peters, Randy Quaid",United States,"
"
Heavy Metal,Gerald Potterton,"Rodger Bumpass (voice), Jackie Burroughs (voice), John Candy (voice), Eugene Levy (voice)",United StatesCanada,"Animated film
"
The Incredible Shrinking Woman,Joel Schumacher,"Lily Tomlin, Charles Grodin, Ned Beatty, Henry Gibson, John Glover",United States,"
"
Inseminoid,Norman J. Warren,"Judy Geeson, Heather Wright, Trevor Thomas, Stephanie Beacham",United Kingdom,"USA title: Horror Planet
"
Klaabu in Space,Avo Paistik,,Soviet Union,"Animated short film. Estonian title: Klaabu kosmoses[12]
"
The Last Chase,Martyn Burke,"Lee Majors, Burgess Meredith, Chris Makepeace",United States,"
"
Looker,Michael Crichton,"Albert Finney, James Coburn, Susan Dey",United States,"
"
Mad Max 2,George Miller,Mel Gibson,Australia,"Post-apocalyptic
"
Malevil,Christian de Chalonge,"Michel Serrault, Jacques Dutronc, Jacques Villeret",FranceWest Germany,"
"
Memoirs of a Survivor,David Gladwell,"Julie Christie, Christopher Guard, Leonie Mellinger",United Kingdom,"
"
Mobile Suit Gundam,"Ryôji Fujiwara, Yoshiyuki Tomino","Tôru Furuya (voice), Hirotaka Suzuoki (voice), Shôzô Iizuka (voice), Toshio Furukawa (voice)",Japan,"
"
Mobile Suit Gundam II: Soldiers of Sorrow,"Yoshikazu Yasuhiko, Yoshiyuki Tomino","Tôru Furuya (voice), Shûichi Ikeda (voice), Hirotaka Suzuoki (voice), Fuyumi Shiraishi (voice)",Japan,"
"
The Mystery of the Third Planet,Roman Kachanov,"Vasiliy Livanov (voice), Yuriy Andreyev (voice), Grigoriy Shpigel' (voice)",Soviet Union,"Animated film
"
Nuclear Shelter,Roberto Pires,"Conceição Senna, Sasso Alano, Roberto Pires",Brazil,"Eco-dystopian film. Portuguese title: Abrigo Nuclear[13][14][15][16][17]
"
The Orion Loop,Vasiliy Levin,"Leonid Bakshtayev, Gennadiy Shkuratov, Anatoliy Mateshko",Soviet Union,"
"
Outland,Peter Hyams,"Sean Connery, Peter Boyle, Frances Sternhagen",United Kingdom,"
"
Per Aspera Ad Astra,Richard Viktorov,"Aleksandr Mikhajlov, Gleb Strizhenov, Alexander Lazarev",Soviet Union,"Alternate titles: Through the Thorns to the Stars; Humanoid Woman
"
Scanners,David Cronenberg,"Stephen Lack, Jennifer O'Neill, Patrick McGoohan",Canada,"
"
Scared to Death,William Malone,John Stinson,United States,"
"
Space Warrior Baldios,Kazuyuki Hirokawa,,Japan,"
"
Visitors from the Galaxy,Dušan Vukotić,"Ljubiša Samardžić, Ivana Andrlová, Cvijeta Mesic",YugoslaviaCzechoslovakia,"[18]
"
The War of the Worlds: Next Century,Piotr Szulkin,"Roman Wilhelmi, Krystyna Janda, Mariusz Dmochowski",Poland,"
"
1990: The Bronx Warriors,Enzo G. Castellari,"Vic Morrow, Christopher Connelly, Fred Williamson",Italy,"
"
The Aftermath,Steve Barkett,"Sid Haig, Forrest J Ackerman, Jim Danforth",United States,"UK title: Zombie Aftermath
"
Airplane II: The Sequel,Ken Finkleman,"Robert Hays, Julie Hagerty, Lloyd Bridges",United States,"
"
Anno 2020 - I gladiatori del futuro,Joe D'Amato,"Harrison Muller, Al Cliver, Sabrina Siani",Italy,"[19]
"
Android,Aaron Lipstadt,"Klaus Kinski, Brie Howard, Norbert Weisser",United States,"[nb 2]
"
Arcadia of My Youth,Tomoharu Katsumata,"Makio Inoue (voice), Kei Tomiyama (voice), Reiko Tajima (voice), Reiko Mutō (voice)",Japan,"
"
Blade Runner,Ridley Scott,"Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos, Daryl Hannah",United StatesHong Kong,"[nb 3]
"
Burst City,Sōgo Ishii,"Michirou Endo, Shigeru Izumiya, Takanori Jinnai, Kou Machida",Japan,"
"
Button,Vladimir Tarasov,,Soviet Union,"Animated short film
"
Café Flesh,Stephen Sayadian,"Michelle Bauer, Richard Belzer",United States,"
"
Cat People,Paul Schrader,"Nastassja Kinski, John Heard, Malcolm McDowell",United States,"
"
Chronopolis,Piotr Kamler,,France,"Animated film
"
Creepshow,George A. Romero,"Hal Holbrook, Adrienne Barbeau, Fritz Weaver",United States,"Science fiction horror[20]
"
Crosstalk,Mark Egerton,"Gary Day, Penny Downie, John Ewart",Australia,"
"
E.T. the Extra-Terrestrial,Steven Spielberg,"Henry Thomas, Dee Wallace, Peter Coyote, Drew Barrymore, Robert MacNaughton",United States,"[nb 4]
"
Endangered Species,Alan Rudolph,"Robert Urich, JoBeth Williams, Paul Dooley",United States,"[21]
"
Forbidden World,Allan Holzman,"Jesse Vint, June Chadwick",United States,"
"
Kamikaze 1989,Wolf Gremm,"Rainer Werner Fassbinder, Günther Kaufmann, Boy Gobert, Arnold Marquis",West Germany,"[22]
"
The Masters of Time,René Laloux,"Jean Valmont (voice), Michel Elias (voice), Frédéric Legros (voice), Yves-Marie Maurin (voice)",FranceWest GermanySwitzerlandUnited KingdomHungary,"Animated film
"
Megaforce,Hal Needham,"Barry Bostwick, Persis Khambatta, Michael Beck, Henry Silva",United States,"
"
Mobile Suit Gundam III: Encounters in Space,"Yoshiyuki Tomino, Yoshikazu Yasuhiko","Tôru Furuya (voice), Shûichi Ikeda (voice), Hirotaka Suzuoki (voice), Yô Inoue (voice)",Japan,"
"
The New Barbarians,Enzo G. Castellari,"Fred Williamson, Anna Kanakis, Venantino Venantini",Italy,"[nb 5]
"
Nightbeast,Don Dohler,"Donald Leifert, Tom Griffiths",United States,"Horror
"
Parasite,Charles Band,"Robert Glaudini, Demi Moore",United States,"Horror
"
Queen Millennia,Masayuki Akehi,"Keiko Han (voice), Keiko Toda (voice), Ichirô Nagai (voice), Mami Koyama (voice)",Japan,"
"
"The Secret of NIMH
","Don Bluth
","Elizabeth Hartman (voice), Peter Strauss (voice), Arthur Malet (voice), Dom DeLuise (voice), John Carradine (voice), Derek Jacobi (voice), Hermione Baddeley (voice), Paul Shenar (voice)
","United States
","Animated Film
"
Space Adventure Cobra,Osamu Dezaki,"Shigeru Matsuzaki (voice), Ryoko Sakakibara (voice), Akiko Nakamura (voice), Toshiko Fujita (voice)",Japan,"Anime film
"
Star Trek II: The Wrath of Khan,Nicholas Meyer,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan, Nichelle Nichols, George Takei, Ricardo Montalbán",United States,"[nb 6]
"
Swamp Thing,"Wes Craven, Walter von Huene","Louis Jourdan, Adrienne Barbeau, Ray Wise",United States,"
"
The Thing,John Carpenter,"Kurt Russell, Wilford Brimley, T. K. Carter, Keith David, Donald Moffat, Charles Hallahan, David Clennon",United States,"Horror[nb 7]
"
Timerider: The Adventure of Lyle Swann,William Dear,"Fred Ward, Belinda Bauer, Peter Coyote, Richard Masur, Ed Lauter, Chris Mulkey, Tracy Walter",United States,"
"
Time Walker,Tom Kennedy,"Ben Murphy, Nina Axelrod, Kevin Brophy",United States,"
"
Tron,Steven Lisberger,"Jeff Bridges, Bruce Boxleitner, David Warner, Cindy Morgan",United States,"[nb 8]
"
Turkey Shoot,Brian Trenchard-Smith,"Steve Railsback, Olivia Hussey, Michael Craig",Australia,"
"
Warlords of the 21st Century,Harley Cokliss,"Michael Beck, Annie McEnroe, James Wainwright",United States,"[23][nb 9]
"
"Xtro
","Harry Bromley Davenport
","Bernice Stegers, Philip Sayer, Simon Nash, Maryam d'Abo, Danny Brainin
","United Kingdom
","Horror
"
Zapped!,Robert J. Rosenthal,"Scott Baio, Willie Aames, Heather Thomas, Robert Mandan",United States,"
"
"2019, After the Fall of New York",Sergio Martino,"Michael Sopkiw, Valentine Monnier, Anna Kanakis",ItalyFrance,"
"
Anniversary,Vladimir Tarasov,,Soviet Union,"Animated short film. Russian title: Юбилей, tr. Yubiley[24][25][26][27]
"
Anna to the Infinite Power,Robert Wiemer,"Martha Byrne, Dina Merrill",United States,"
"
The Atlantis Interceptors,Ruggero Deodato,Ivan Rassimov,Italy,"
"
Born in Flames,Lizzie Borden,"Jeanne Satterfield, Adele Bertei, Becky Johnston",United States,"
"
Brainstorm,Douglas Trumbull,"Christopher Walken, Natalie Wood, Louise Fletcher",United States,"
"
BrainWaves,Ulli Lommel,"Keir Dullea, Suzanna Love, Vera Miles, Tony Curtis",United States,"[28]
"
The Creature Wasn't Nice,Bruce Kimmel,"Leslie Nielsen, Cindy Williams, Gerrit Graham",United States,"
"
Crusher Joe,Yoshikazu Yasuhiko,,Japan,"
"
"Daijōbu, My Friend",Ryū Murakami,"Peter Fonda, Reona Hirota",Japan,"
"
The Dead Zone,David Cronenberg,"Christopher Walken, Brooke Adams, Tom Skerritt, Martin Sheen",United States,"
"
The Deadly Spawn,Douglas McKeown,"Charles George Hildebrandt, Tom DeFranco, Richard Lee Porter",United States,"
"
Document Fang of the Sun Dougram,Ryōsuke Takahashi,,Japan,"
"
Endgame,Joe D'Amato,"Al Cliver, Laura Gemser, George Eastman",Italy,"
"
Escape from the Bronx,Enzo G. Castellari,"Mark Gregory, Henry Silva, Valeria D'Obici",Italy,"
"
Exterminators of the Year 3000,Giuliano Carmineo,"Robert Iannucci, Alicia Moro, Eduardo Fajardo",Italy,"
"
Final Yamato,"Tomoharu Katsumata, Yoshinobu Nishizaki, Toshio Masuda","Kei Tomiyama (voice), Yôko Asagami (voice), Gorô Naya (voice), Isao Sasaki (voice)",Japan,"Anime film
"
Halloween III: Season of the Witch,Tommy Lee Wallace,"Tom Atkins, Stacey Nelkin, Dan O'Herlihy",United States,"Horror
"
Harmagedon,Rintaro,"Tôru Furuya (voice), Mami Koyama (voice), Masako Ikeda (voice), Keiko Han (voice)",Japan,"
"
Kometa,Richard Viktorov,"Nadezhda Semencova, Anatolij Kuznecov",Soviet Union,"Comedy
"
Krull,Peter Yates,"Ken Marshall, Lysette Anthony, Freddie Jones",United KingdomUnited States,"
"
The Last Battle,Luc Besson,"Pierre Jolivet, Jean Bouise, Fritz Wepper",France,"
"
Liquid Sky,Slava Tsukerman,"Anne Carlisle, Paula Sheppard, Susan Doukas",United States,"
"
Metalstorm: The Destruction of Jared-Syn,Charles Band,"Jeffrey Byron, Tim Thomerson, Kelly Preston, Richard Moll",United States,"
"
Moon Rainbow,Andrey Yermash,"Vladimir Gostyukhin, Vasiliy Livanov, Yuriy Solomin",Soviet Union,"
"
The Pod People,Juan Piquer Simón,"Óscar Martín, Concha Cuetos, Manuel Pereiro",SpainFrance,"
"
Prisoners of the Lost Universe,Terry Marcel,"Richard Hatch, Kay Lenz, John Saxon",United Kingdom,"
"
The Prize of Peril,Yves Boisset,"Gérard Lanvin, Michel Piccoli, Marie-France Pisier",FranceYugoslavia,"
"
Return of the Jedi,Richard Marquand,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams",United States,"Space opera[nb 10]
"
Rock & Rule,Clive A. Smith,"Paul Le Mat (voice), Deborah Harry (voice), Don Francks (voice)",Canada,"Animated film
"
Space Raiders,Howard R. Cohen,"Vince Edwards, David Mendenhall, Patsy Pease",United States,"
"
Spacehunter: Adventures in the Forbidden Zone,Lamont Johnson,"Peter Strauss, Molly Ringwald, Ernie Hudson, Michael Ironside",United States,"
"
Strange Invaders,Michael Laughlin,"Paul Le Mat, Nancy Allen, Diana Scarwid",CanadaUnited States,"
"
Superman III,Richard Lester,"Christopher Reeve, Richard Pryor, Robert Vaughn, Annette O'Toole",United States,"Superhero film
"
Twilight Zone: The Movie,"Joe Dante, John Landis, Steven Spielberg, George Miller","Dan Aykroyd, Albert Brooks, John Lithgow, Kathleen Quinlan",United States,"
"
Urusei Yatsura: Only You,Mamoru Oshii,"Fumi Hirano (voice), Toshio Furukawa (voice), Saeko Shimazu (voice)",Japan,"First film in the Urusei Yatsura film series
"
Videodrome,David Cronenberg,"James Woods, Sonja Smits, Debbie Harry",Canada,"Horror
"
"WarGames
","John Badham
","Matthew Broderick, Dabney Coleman, John Wood, Ally Sheedy
","United Stages
","
"
Warrior of the Lost World,David Worth,"Robert Ginty, Persis Khambatta, Donald Pleasence, Fred Williamson",Italy,"
"
Wavelength,Mike Gray,"Robert Carradine, Cherie Currie, Keenan Wynn",United States,"
"
Xabungle Graffiti,Yoshiyuki Tomino,,Japan,"
"
Xtro,Harry Bromley Davenport,"Philip Sayer, Bernice Stegers, Danny Brainin",United Kingdom,"
"
"Yor, the Hunter from the Future",Antonio Margheriti,"Reb Brown, Corinne Cléry, John Steiner",ItalyFranceTurkey,"
"
2010,Peter Hyams,"Roy Scheider, John Lithgow, Helen Mirren, Keir Dullea",United States,"[nb 11]
"
The Adventures of Buckaroo Banzai Across the 8th Dimension,W. D. Richter,"Peter Weller, John Lithgow, Jeff Goldblum, Christopher Lloyd",United States,"
"
Babičky dobíjejte přesně!,Ladislav Rychman,"Daniela Kolářová, Jana Dítětová",Czechoslovakia,"
"
Bloodsuckers from Outer Space,Glen Coburn,"Thom Meyes, Dennis Letts, Laura Ellis",United States,"Horror, Comedy
"
The Brother from Another Planet,John Sayles,"Joe Morton, Darryl Edwards, Steve James",United States,"
"
Dreamscape,Joseph Ruben,"Dennis Quaid, Max von Sydow, Christopher Plummer",United States,"
"
Dune,David Lynch,"Francesca Annis, Leonardo Cimino, Brad Dourif",United States,"Space opera
"
Electric Dreams,Steve Barron,"Lenny Von Dohlen, Virginia Madsen, Bud Cort",United States,"
"
The Ewok Adventure,John Korty,"Eric Walker, Warwick Davis, Tony Cox, Fionnula Flanagan",United States,"[29]
"
The Element of Crime,Lars von Trier,"Michael Elphick, Esmond Knight, Me Me Lai",Denmark,"
"
Firestarter,Mark L. Lester,"Drew Barrymore, David Keith, George C. Scott, Martin Sheen, Heather Locklear",United States,"
"
Ghostbusters,Ivan Reitman,"Bill Murray, Dan Aykroyd, Harold Ramis, Sigourney Weaver, Ernie Hudson, Rick Moranis, Annie Potts",United States,"Horror, Comedy
"
Gremlins,Joe Dante,"Zach Galligan, Phoebe Cates, Hoyt Axton
",United States,"Horror, Comedy
"
I Guerrieri dell'anno 2072,Lucio Fulci,"Jared Martin, Fred Williamson, Howard Ross",Italy,"
"
Iceman,Fred Schepisi,"Timothy Hutton, Lindsay Crouse, John Lone",United States,"
"
The Ice Pirates,Stewart Raffill,"Robert Urich, Mary Crosby, Michael D. Roberts",United States,"
"
Impulse,Graham Baker,"Tim Matheson, Meg Tilly, Hume Cronyn",United States,"
"
The Invisible Man,Aleksandr Zakharov [ru],"Andrey Kharitonov, Romualdas Ramanauskas, Leonid Kuravlyov",Soviet Union,"
"
The Last Starfighter,Nick Castle,"Lance Guest, Catherine Mary Stewart, Robert Preston, Dan O'Herlihy",United States,"
"
Lensman,Yoshiaki Kawajiri,"Toshio Furukawa (voice), Mami Koyama (voice), Chikao Ōtsuka (voice), Nachi Nozawa (voice)",Japan,"
"
Macross: Do You Remember Love?,Shoji Kawamori,"Mari Iijima (voice), Arihiro Hase (voice), Mika Doi (voice), Michio Hazama (voice)",Japan,"
"
The Meeting,Mikhail Titov,,Soviet Union,"Animated short film
"
Nausicaä of the Valley of the Wind,Hayao Miyazaki,"Sumi Shimamoto (voice), Mahito Tsujimura (voice), Hisako Kyôda (voice)",Japan,"Anime film
"
The Next One,Nico Mastorakis,"Keir Dullea, Adrienne Barbeau, Peter Hobbs",Greece,"
"
Night of the Comet,Thom Eberhardt,"Catherine Mary Stewart, Kelli Maroney, Robert Beltran",United States,"
"
Nineteen Eighty-Four,Michael Radford,"John Hurt, Richard Burton, Suzanna Hamilton",United Kingdom,"
"
The Noah's Ark Principle,Roland Emmerich,"Richy Müller, Franz Buchrieser",West Germany,"
"
The Philadelphia Experiment,Stewart Raffill,"Michael Paré, Nancy Allen, Eric Christmas",United States,"
"
Repo Man,Alex Cox,"Harry Dean Stanton, Emilio Estevez, Olivia Barash",United States,"Comedy
"
Return from Orbit,Aleksandr Surin,"Juozas Budraitis, Vitaliy Solomin, Aleksandr Porokhovshchikov",Soviet Union,"
"
The Return of Godzilla,Koji Hashimoto (director),"Raymond Burr, Ken Tanaka",JapanUnited States,"Kaijū
"
Runaway,Michael Crichton,"Tom Selleck, Cynthia Rhodes, Gene Simmons, Kirstie Alley",United States,"
"
Sayonara Jupiter,Koji Hashimoto,"Tomokazu Miura, Dangely Diane, Miyuki Ono, Rachel Huggett",Japan,"
"
Sexmission,Juliusz Machulski,"Olgierd Łukaszewicz, Jerzy Stuhr, Hanna Stankówna",Poland,"
"
Star Trek III: The Search for Spock,Leonard Nimoy,"William Shatner, Leonard Nimoy, DeForest Kelley, Christopher Lloyd",United States,"
"
Starman,John Carpenter,"Jeff Bridges, Karen Allen, Charles Martin Smith",United States,"
"
The Terminator,James Cameron,"Arnold Schwarzenegger, Michael Biehn, Linda Hamilton",United States,"Time travel film[nb 12]
"
There Will Come Soft Rains,Nozim To'laxo'jayev,,Soviet Union,"Animated short film. Russian title: Будет ласковый дождь, tr. Budet laskovyy dozhd'[30][31][32][33][34][35]
"
The Toxic Avenger,"Lloyd Kaufman, Michael Herz","Mitch Cohen, Mark Torgl, Andree Maranda",United States,"Science fiction action superhero[36]
"
Urusei Yatsura 2: Beautiful Dreamer,Mamoru Oshii,"Fumi Hirano (voice), Toshio Furukawa (voice), Akira Kamiya (voice)",Japan,"Second film in the Urusei Yatsura film series
"
Back to the Future,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Crispin Glover, Lea Thompson, Thomas F. Wilson",United States,"Time travel film[nb 13]
"
Brazil,Terry Gilliam,"Jonathan Pryce, Michael Palin, Kim Greist, Robert De Niro",United Kingdom,"[nb 14]
"
City Limits,Aaron Lipstadt,"Darrell Larson, John Stockwell, Kim Cattrall",United States,"
"
Cocoon,Ron Howard,"Don Ameche, Wilford Brimley, Hume Cronyn, Brian Dennehy, Steve Guttenberg, Maureen Stapleton, Jessica Tandy",United States,"
"
Contract,Vladimir Tarasov,"Aleksandr Kaydanovskiy (voice), Yevgeniy Steblov (voice), Boris Ivanov (voice)",Soviet Union,"Animated short film
"
Creature,William Malone,"Stan Ivar, Wendy Schaal, Lyman Ward, Robert Jaffe, Diane Salinger",United States,"
"
D.A.R.Y.L.,Simon Wincer,"Barret Oliver, Mary Beth Hurt, Michael McKean, Kathryn Walker",United States,"
"
The Dungeonmaster,"Dave Allen, Charles Band","Jeffrey Byron, Leslie Wing, Richard Moll",United States,"
"
Day of the Dead,George Romero,"Lori Cardille, Joseph Pilato, Richard Liberty, Sherman Howard",United States,"
"
Enemy Mine,Wolfgang Petersen,"Dennis Quaid, Louis Gossett, Jr., Brion James",United States,"
"
Explorers,Joe Dante,"Ethan Hawke, River Phoenix, Jason Presson",United States,"
"
Galaxy Invader,Don Dohler,"Richard Ruxton, George Stover, Faye Tilles, Glenn Barnes",United States,"
"
"Gwen, or the Book of Sand",Jean-François Laguionie,"Michel Robin (voice), Lorella Di Cicco (voice)",France,"Animated film
"
Joey,Roland Emmerich,"Joshua Morrell, Eva Kryll",West Germany,"
"
Lifeforce,Tobe Hooper,"Steve Railsback, Peter Firth, Frank Finlay",United KingdomUnited States,"
"
Mad Max Beyond Thunderdome,"George Ogilvie, George Miller","Mel Gibson, Tina Turner",Australia,"Post-apocalyptic
"
Morons from Outer Space,Mike Hodges,"Mel Smith, Griff Rhys Jones, Paul Brown",United Kingdom,"
"
My Science Project,Jonathan Betuel,"John Stockwell, Fisher Stevens, Raphael Sbarge",United States,"
"
"O-Bi, O-Ba: The End of Civilization",Piotr Szulkin,"Jerzy Stuhr, Krystyna Janda, Kalina Jędrusik",Poland,"
"
Odin: Photon Sailer Starlight,Toshio Masuda,,Japan,"
"
Planet 888,Vladimir Mailyan,,Soviet Union,"Animated short film. Russian title: Планета 888, tr. Planeta 888. Armenian title: Մոլորակ 888[37]
"
The Quiet Earth,Geoff Murphy,"Bruno Lawrence, Alison Routledge",New Zealand,"
"
Radioactive Dreams,Albert Pyun,"Michael Dudikoff, Lisa Blount, Don Murray",United States,"
"
Real Genius,Martha Coolidge,"Val Kilmer, Gabriel Jarret",United States,"
"
Re-Animator,Stuart Gordon,"Jeffrey Combs, Bruce Abbott, Barbara Crampton",United States,"Horror, Comedy
"
The Return of the Living Dead,Dan O'Bannon,"Clu Gulager, James Karen, Don Calfa",United States,"Science fiction horror comedy[38]
"
Space Rage,Conrad E. Palmisano,"Richard Farnsworth, Michael Paré, John Laughlin",United States,"
"
Starchaser: The Legend of Orin,Steven Hahn,"Joe Colligan (voice), Anthony De Longis (voice), Carmen Argenziano (voice)",United States,"Animated film
"
The Stuff,Larry Cohen,"Michael Moriarty, Andrea Marcovicci, Garrett Morris, Paul Sorvino",United States,"
"
Trancers,Charles Band,"Tim Thomerson, Helen Hunt",United States,"
"
Underworld,George Pavlou,"Denholm Elliott, Miranda Richardson, Steven Berkoff",UK,"Sci-fi horror[39]
"
Urusei Yatsura 3: Remember My Love,Kazuo Yamazaki,"Fumi Hirano (voice), Toshio Furukawa (voice), Akira Kamiya (voice)",Japan,"Third film in the Urusei Yatsura film series
"
Visit with Van Gogh,Horst Seemann,"Grażyna Szapołowska, Christian Grashof, Rolf Hoppe",East GermanyWest Germany,"German title: Besuch bei Van Gogh[40][41][42][43][44][45]
"
Weird Science,John Hughes,"Anthony Michael Hall, Kelly Le Brock, Ilan Mitchell-Smith, Bill Paxton",United States,"
"
Aliens,James Cameron,"Sigourney Weaver, Paul Reiser, Michael Biehn, Bill Paxton",United States,"[nb 15] Action
"
Armadillo Blood,Marcos Bertoni,"Flora Calviño, Henrique Zanetta, Louis Chilson",Brazil,"Super 8 eco-dystopian short film. Portuguese title: Sangue de Tatu[13][46]
"
The Aurora Encounter,"Jim McCullough, Sr.","Jack Elam, Peter Brown, Carol Bagdasarian",United States,"[28]
"
The Battle,Mikhail Titov,,Soviet Union,"Animated short film. Russian title: Сражение, tr. Srazheniye[6]
"
Chopping Mall,Jim Wynorski,"Kelli Maroney, Tony O'Dell, Russell Todd",United States,"[28]
"
Critters,Stephen Herek,"Dee Wallace, M. Emmet Walsh, Billy Green Bush",United States,"Horror, Comedy
"
Dead End Drive-In,Brian Trenchard-Smith,"Ned Manning, Natalie McCurry, Peter Whitford",Australia,"
"
Dead Man's Letters,Konstantin Lopushansky,"Rolan Bykov, Iosif Ryklin",Soviet Union,"antiutopia, post-apocalyptic film, psychological drama
"
Death Powder,Shigeru Izumiya,"Shigeru Izumiya, Rikako Murakami, Takichi Inukai",Japan,"
"
Deadly Friend,Wes Craven,"Matthew Laborteaux, Kristy Swanson, Michael Sharrett",United States,"
"
Dirty Pair: Project Eden,Kōichi Mashimo,"Saeko Shimazu (voice), Kyōko Tongū (voice), Katsuji Mori (voice)",Japan,"
"
Eliminators,Peter Manoogian,"Andrew Prine, Denise Crosby, Patrick Reynolds",United States,"
"
Fist of the North Star,Toyoo Ashida,"Akira Kamiya (voice), Yuriko Yamamoto (voice), Kenji Utsumi (voice)",Japan,"Anime film
"
Flight of the Navigator,Randal Kleiser,"Joey Cramer, Veronica Cartwright, Cliff DeYoung, Sarah Jessica Parker",United States,"
"
The Fly,David Cronenberg,"Jeff Goldblum, Geena Davis, John Getz",United StatesCanada,"[nb 16]
"
From Beyond,Stuart Gordon,"Jeffrey Combs, Barbara Crampton, Ken Foree",United States,"Science fiction horror[47]
"
"Ga, Ga - Chwala bohaterom",Peter Szulkin,"Katarzyna Figura, Daniel Olbrychski, Marek Walczewski, Jan Nowicki",Poland,"
"
Gröna gubbar från Y.R.,Hans Hatwig,"Carl Billquist, Curt Broberg, Åsa Dahlenborg",Sweden,"[48][nb 17]
"
Howard the Duck,Willard Huyck,"Lea Thompson, Jeffrey Jones, Tim Robbins",United States,"[nb 18]
"
Invaders from Mars,Tobe Hooper,"Karen Black, Hunter Carson, Timothy Bottoms, Louise Fletcher",United States,"
"
Kamikaze,Didier Grousset,"Richard Bohringer, Dominique Lavanant, Michel Galabru",France,"[49]
"
