movie_name,director,cast_name,country_name,subgenre_name
Star Trek: Nemesis,Stuart Baird,"Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton, Tom Hardy",United States,"[62] Action thriller
"
Star Wars: Episode II – Attack of the Clones,George Lucas,"Ewan McGregor, Hayden Christensen, Natalie Portman, Ian McDiarmid, Frank Oz",United States,"[nb 8][63] Space Adventure
"
Tamala 2010: A Punk Cat In Space,t. o. L.,,Japan,"[64] Anime
"
Teknolust,Lynn Hershman Leeson,"Tilda Swinton, Jeremy Davies, James Urbaniak",United States,"[65] Drama
"
Treasure Planet,"Ron Clements, John Musker","Joseph Gordon-Levitt (voice), Emma Thompson (voice), Brian Murray (voice)",United States,"[66] Animated family adventure
"
The Time Machine,Simon Wells,"Guy Pearce, Samantha Mumba, Mark Addy, Orlando Jones, Jeremy Irons",United States,"Time travel
"
Timequest,Robert Dyke,"Caprice Benedetti, Bruce Campbell, Vince Grant, Victor Slezak",United States,"[67] Time travel
"
Trancers 6,Jay Woelfel,"Zette Sullivan, Timothy Prindle",United States,"
"
2009: Lost Memories,Lee Si-Myung,"Toru Nakamura, Jang Dong-gun, Ken Mitsuishi",South Korea,"Action thriller
"
Absolon,David Barto,"Christopher Lambert, Kelly Brook, Lou Diamond Phillips, Ron Perlman",United Kingdom,"Action thriller
"
Alien Hunter,Ron Krauss,"James Spader, Leslie Stefanson, Carl Lewis",United StatesBulgaria,"Action thriller
"
Beyond Re-Animator,Brian Yuzna,"Jeffrey Combs, Jason Barry, Elsa Pataky",United States,"Sci-fi horror[68]
"
The Big Empty,Steve Anderson,"Jon Favreau, Joey Lauren Adams, Kelsey Grammer",United States,"Mystery comedy
"
Code 46,Michael Winterbottom,"Tim Robbins, Samantha Morton, Jeanne Balibar",United Kingdom,"Romance
"
The Core,Jon Amiel,"Aaron Eckhart, Hilary Swank, Delroy Lindo",United States,"Disaster film
"
Dragon Head,Jôji Iida,"Satoshi Tsumabuki, Sayaka Kanda, Takayuki Yamada",Japan,"Mystery drama
"
Dreamcatcher,Lawrence Kasdan,"Morgan Freeman, Thomas Jane, Jason Lee",United States,"Horror drama
"
Godzilla: Tokyo SOS,Masaaki Tezuka,"Noboru Kaneko, Miho Yoshioka, Katsuya Onizuka",Japan,"Giant Monster Film
"
Good Boy!,John Hoffman,"Molly Shannon, Liam Aiken, Kevin Nealon",United States,"Family comedy drama
"
Hulk,Ang Lee,"Eric Bana, Jennifer Connelly, Sam Elliott",United States,"Superhero
"
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,Kazuhisa Takenouchi,,FranceJapan,"Anime
"
It's All About Love,Thomas Vinterberg,"Joaquin Phoenix, Claire Danes, Sean Penn",United StatesDenmark,"Apocalyptic
"
Koi... Mil Gaya,Rakesh Roshan,"Hrithik Roshan, Preity Zinta, Rekha",India,"Hindi film; Fantasy drama
"
The Matrix Reloaded,The Wachowskis[nb 9],"Keanu Reeves, Carrie-Anne Moss, Laurence Fishburne",United States,"Action adventure
"
The Matrix Revolutions,The Wachowskis[nb 10],"Keanu Reeves, Carrie-Anne Moss, Laurence Fishburne",United States,"Action adventure
"
Mimic 3: Sentinel,J. T. Petty,"Karl Geary, Alexis Dziena, Rebecca Mader, Lance Henriksen",United States,"Horror
"
Moon Child,Takahisa Zeze,"Gackt Camui, Hyde Takarai, Leehom Wang",Japan,"Action drama
"
Natural City,Min Byeong-cheon,"Yoo Ji-tae, Yoon Chan, Seo Rin",South Korea,"Action drama
"
Paycheck,John Woo,"Ben Affleck, Aaron Eckhart, Uma Thurman",United States,"[nb 11] Action thriller
"
Robot Stories,Greg Pak,"Tamlyn Tomita, James Saito, Wai Ching Ho",United States,"Indie drama
"
Save the Green Planet!,Jang Joon-hwan,"Shin Ha-kyun, Baek Yoon-sik",South Korea,"Comedy horror thriller
"
Terminator 3: Rise of the Machines,Jonathan Mostow,"Arnold Schwarzenegger, Nick Stahl, Claire Danes, Kristanna Loken",United States,"Action
"
Timeline,Richard Donner,"Paul Walker, Frances O'Connor, Gerard Butler",United States,"Fantasy
"
Undead,"Michael Spierig, Peter Spierig","Felicity Mason, Mungo McKay, Rob Jenkins",Australia,"Zombie horror comedy
"
Wonderful Days,"Sunmin Park, Kim Moon-saeng",,South Korea,"Animation
"
WXIII: Patlabor the Movie 3,,,Japan,"Anime
"
X2,Bryan Singer,"Patrick Stewart, Hugh Jackman, Ian McKellen, Halle Berry, Anna Paquin",United States,"[nb 12] Superhero
"
2046,Wong Kar-wai,"Tony Leung Chiu-Wai, Gong Li, Takuya Kimura",Hong Kong,"Romantic drama
"
After the Apocalypse,Yasuaki Nakajima,,Japan,"[69] Drama
"
Alien vs. Predator,Paul W. S. Anderson,"Sanaa Lathan, Raoul Bova, Lance Henriksen",United States,"Action thriller
"
Appleseed,Shinji Aramaki,,Japan,"Anime
"
The Butterfly Effect,"Eric Bress, J. Mackye Gruber","Ashton Kutcher, Amy Smart",United States,"Psychological thriller
"
Casshern,Kiriya Kazuaki,"Yusuke Iseya, Kumiko Asō, Toshiaki Karasawa",Japan,"Action
"
The Chronicles of Riddick,David N. Twohy,"Vin Diesel, Colm Feore, Thandie Newton",United States,"Action adventure
"
Cube Zero,Ernie Barbarash,"Zachary Bennett, Michael Riley",Canada,"Horror
"
The Day After Tomorrow,Roland Emmerich,"Dennis Quaid, Jake Gyllenhaal, Ian Holm",United States,"Disaster film
"
Dead Leaves,Hiroyuki Imaishi,,Japan,"Anime
"
Decoys,Matthew Hastings,"Meghan Ory, Kim Poirier, Enis Esmer",Canada,"Horror
"
District 13,Pierre Morel,"David Belle, Cyril Raffaelli, Dany Verissimo",France,"Action
"
Eternal Sunshine of the Spotless Mind,Michel Gondry,"Jim Carrey, Kate Winslet",United States,"Romantic comedy[nb 13]
"
FAQ: Frequently Asked Questions,Carlos Atanes,"Xavier Tort, Anne Celine Auche",Spain,"Dystopia
"
The Final Cut,Omar Naim,"Robin Williams, Mira Sorvino, James Caviezel",United States,"Thriller
"
The Forgotten,Joseph Ruben,"Julianne Moore, Dominic West, Gary Sinise",United States,"Psychological thriller
"
Godsend,Nick Hamm,"Greg Kinnear, Rebecca Romijn, Cameron Bright, Robert De Niro",United StatesCanada,"Horror
"
Godzilla: Final Wars,Ryuhei Kitamura,"Masahiro Matsuoka, Rei Kikukawa",Japan,"Kaiju
"
G.O.R.A.,Ömer Faruk Sorak,"Cem Yılmaz, Özge Özberk, Şafak Sezer",Turkey,"Comedy
"
"Hellboy (2004 film)
","Guillermo del Toro
","Ron Perlman, Selma Blair, Jeffrey Tambor, Karel Roden, Rupert Evans, John Hurt
","United States
","Superhero
"
"I, Robot",Alex Proyas,"Will Smith, Bridget Moynahan, Alan Tudyk",United States,"Action mystery
"
Immortel (ad vitam),Enki Bilal,"Charlotte Rampling, Thomas Kretschmann, Linda Hardy",France,"Crime
"
Innocence: Ghost in the Shell,Mamoru Oshii,,Japan,"Anime
"
Night Watch,Timur Bekmambetov,"Konstantin Khabensky, Vladimir Menshov, Valery Zolotukhin",Russia,"Horror
"
Paranoia 1.0,"Jeff Renfroe, Marteinn Thorsson","Jeremy Sisto, Deborah Kara Unger, Bruce Payne",United StatesRomaniaIceland,"Cyberpunk
"
Phil the Alien,Rob Stefaniuk,"Rob Stefaniuk, Nicole de Boer, Graham Greene",Canada,"Comedy
"
The Place Promised in Our Early Days,Makoto Shinkai,,Japan,"Anime
"
Post Impact,Christoph Schrewe,"Dean Cain, Bettina Zimmermann, Adrienne McQueen",GermanyUnited States,"Post-Impact
"
Primer,Shane Carruth,"Shane Carruth, David Sullivan",United States,"Drama [nb 14]
"
Resident Evil: Apocalypse,Alexander Witt,"Milla Jovovich, Sienna Guillory, Oded Fehr",United States,"Horror
"
Six: The Mark Unleashed,Kevin Downes,"Stephen Baldwin, Eric Roberts",United States,"Action drama
"
Sky Captain and the World of Tomorrow,Kerry Conran,"Gwyneth Paltrow, Jude Law, Angelina Jolie",United States,"Pulp adventure
"
Spider-Man 2,Sam Raimi,"Tobey Maguire, Kirsten Dunst, James Franco",United States,"Superhero
"
The Stepford Wives,Frank Oz,"Nicole Kidman, Matthew Broderick, Bette Midler",United States,"Black comedy
"
Thunderbirds,Jonathan Frakes,"Bill Paxton, Anthony Edwards, Sophia Myles",United States,"Adventure
"
Æon Flux,Karyn Kusama,"Charlize Theron, Marton Csokas, Jonny Lee Miller",United States,"Action thriller
"
Allegro,Christoffer Boe,"Ulrich Thomsen, Helena Christensen, Henning Moritzen",Denmark,"Romantic drama
"
Alien Abduction,Eric Forsberg,"Megan Lee Ethridge, Griff Furst, Marissa Morse",United States,"[70] Horror
"
The Cave,Bruce Hunt,"Cole Hauser, Morris Chestnut, Eddie Cibrian",United States,"Horror
"
Chicken Little,Mark Dindal,,United States,"Animated family comedy
"
The Dark Hours,Paul Fox,"Kate Greenhouse, Aidan Devine, Gordon Currie",Canada,"Psychological thriller
"
Doom,Andrzej Bartkowiak,"Karl Urban, Rosamund Pike, Razaaq Adoti",Czech RepublicGermanyUnited KingdomUnited States,"Horror
"
Evil Aliens,Jake West,"Emily Booth, Christopher Adamson, Norman Lovett",United Kingdom,"Horror comedy
"
Fantastic Four,Tim Story,"Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis",United States,"Superhero
"
Final Fantasy VII Advent Children,"Tetsuya Nomura, Takeshi Nozue",,Japan,"Animation
"
The Girl from Monday,Hal Hartley,"Bill Sage, Sabrina Lloyd, Tatiana Abracos",United States,"Comedy
"
Headspace,Andrew van den Houten,"Olivia Hussey, William Atherton, Sean Young",United States,"Horror mystery
"
H.G. Wells' The War of the Worlds,Timothy Hines,,United States,"Action drama
"
The Hitchhiker's Guide to the Galaxy,Garth Jennings,"Martin Freeman, Mos Def, Sam Rockwell",United StatesUnited Kingdom,"Comedy
"
The Island,Michael Bay,"Ewan McGregor, Scarlett Johansson, Sean Bean",United States,"Thriller
"
The Jacket,John Maybury,"Adrien Brody, Keira Knightley, Kris Kristofferson, Jennifer Jason Leigh",United States,"Psychological thriller
"
Man with the Screaming Brain,Bruce Campbell,"Bruce Campbell, Ted Raimi",United States,"Slapstick
"
Meatball Machine,"Yūdai Yamaguchi, Junichi Yamamoto","Issei Takahashi, Aoba Kawai",Japan,"[71] Horror
"
Planetfall,Michael J. Heagle,"Leitha Matz, Heidi Fellner, Alan Struthers, Charles Hubbell, Snype Myers",United States,"[72] Action western
"
Puzzlehead,James Bai,"Stephen Galaida, Robbie Shapiro",United States,"Drama
"
Robots,"Chris Wedge, Carlos Saldanha",,United States,"Animation
"
Serenity,Joss Whedon,"Nathan Fillion, Gina Torres, Alan Tudyk",United States,"[nb 15] Space Adventure
"
Slipstream,David Van Eyssen,"Vinnie Jones, Sean Astin",United States,"Time travel
"
A Sound of Thunder,Peter Hyams,"Edward Burns, Catherine McCormack, Ben Kingsley",United States,"Time travel adventure
"
Star Wars: Episode III – Revenge of the Sith,George Lucas,"Ewan McGregor, Hayden Christensen, Natalie Portman, Ian McDiarmid, Frank Oz",United States,"[nb 16] Space Adventure
"
Stealth,Rob Cohen,"Josh Lucas, Jessica Biel, Jamie Foxx, Sam Shepard",United States,"Action
"
Steamboy,Katsuhiro Otomo,,Japan,"Anime
"
War of the Worlds,Steven Spielberg,"Tom Cruise, Dakota Fanning",United States,"Alien invasion
"
The Wild Blue Yonder,Werner Herzog,Brad Dourif,United KingdomFranceGermany,"Documentary mashup
"
Zathura: A Space Adventure,Jon Favreau,"Jonah Bobo, Josh Hutcherson, Dax Shepard",United States,"Fantasy adventure
"
A Scanner Darkly,Richard Linklater,"Keanu Reeves (voice), Robert Downey Jr. (voice), Woody Harrelson (voice)",United States,"Animation crime-drama
"
Aachi & Ssipak,Joe Bum-Jim,,South Korea,"Animation
"
AINOA,Marco Kalantari,"Simon Licht, Verena Buratti, Gabriela Benesch",Austria,"Action Adventure[73]
"
Alien Autopsy,Jonny Campbell,"Ant McPartlin, Declan Donnelly, Bill Pullman",GermanyUnited Kingdom,"Comedy
"
Altered,Eduardo Sanchez,"Paul McCarthy Boyington, James Gammon, Brad William Henke",United States,"Horror
"
Aziris Nuna,Oleg Kompasov,Aleksandr Filippenko,Russia,"[74] Action adventure
"
Children of Men,Alfonso Cuarón,"Clive Owen, Julianne Moore, Michael Caine",United States,"[nb 17] Adventure drama
"
The Cloud,Gregor Schnitzler,"Paula Kalenberg, Franz Dinda, Hans-Laurin Beyerling",Germany,"German title: Die Wolke.[75] Drama thriller
"
Daft Punk's Electroma,Daft Punk,"Peter Hurteau, Michael Reich",United StatesFrance,"Drama
"
The Dark Hour,Elio Quiroga,"Silke Hornillos Klein, Omar Muñoz, Pepo Oliva",Spain,"Horror mystery
"
Day Watch,Timur Bekmambetov,"Konstantin Khabensky, Maria Poroshina, Vladimir Menshov",Russia,"Action fantasy
"
Déjà Vu,Tony Scott,"Denzel Washington, Paula Patton, Val Kilmer",United States,"Action crime-thriller
"
Displaced,Martin Holland,"Mark Strange, Malcolm Hankey, Stephanie Fend",United Kingdom,"Action adventure
"
Evil Behind You,"Jim Carroll, Jason Kerr","Hilary Kennedy, Manuel Velazquez, Gwendolynn Murphy",United States,"Horror
"
The Fountain,Darren Aronofsky,"Hugh Jackman, Rachel Weisz",United States,"Romantic drama
"
Gamera the Brave,Ryuta Tasaki,"Ryo Tomioka, Kanji Tsuda, Kaho",Japan,"Kaiju
"
The Girl Who Leapt Through Time,Mamoru Hosoda,"Riisa Naka (voice), Takuya Ishida (voice), Mitsutaka Itakura (voice)",Japan,"Anime
"
The Host,Bong Joon-ho,"Song Kang-ho, Byun Hee-bong, Park Hae-il",South Korea,"Monster
"
Idiocracy,Mike Judge,"Luke Wilson, Maya Rudolph, Dax Shepard",United States,"Satirical comedy
"
Japan Sinks,Shinji Higuchi,"Tsuyoshi Kusanagi, Kou Shibasaki, Etsushi Toyokawa",Japan,"Japanese title: Nihon Chinbotsu. Adventure drama
"
The Kovak Box,Daniel Monzón,"Timothy Hutton, Lucía Jiménez, Annette Badland",SpainUnited Kingdom,"Mystery thriller
"
Krrish,Rakesh Roshan,"Hrithik Roshan, Priyanka Chopra, Naseeruddin Shah, Rekha",India,"Hindi superhero film
"
Lifted,Gary Rydstrom,,United States,"Animation
"
Paprika,Satoshi Kon,,Japan,"Anime
"
"The Prestige
","Christopher Nolan
","Christian Bale, Hugh Jackman, Scarlett Johansson, Michael Caine
","United Kingdom
United States

","
"
The Ugly Swans,Konstantin Lopushansky,"Catherine Dussart, Gregory Hlady",RussiaFrance,"triller
"
Renaissance,Christian Volckman,,France,"Animation
"
Southland Tales,Richard Kelly,"Dwayne Johnson, Justin Timberlake, Sarah Michelle Gellar, Mandy Moore",United States,"Dark comedy drama
"
Slither,James Gunn,"Nathan Fillion, Elizabeth Banks, Gregg Henry",United States,"[nb 18] Horror comedy
"
S.S. Doomtrooper,David Flores,"Corin Nemec, Ben Cross, James Pomitcher",United States,"Television film[76]
"
Superman Returns,Bryan Singer,"Brandon Routh, Kate Bosworth, James Marsden, Kevin Spacey, Parker Posey",United States,"Superhero
"
Ultimate Avengers - The Movie,"Curt Geda, Steven E. Gordon","Justin Gross, Grey Griffin, Michael Massee",United States,"Animated film[77]
"
Ultraviolet,Kurt Wimmer,"Milla Jovovich, Cameron Bright",United States,"Action
"
Unidentified,Rich Christiano,"Jonathan Aube, Josh Adamson, Rebecca St. James",United States,"Supernatural
"
V for Vendetta,James McTeigue,"Natalie Portman, Hugo Weaving",United States,"[nb 19] Dystopian thriller
"
Wrestlemaniac,Jesse Baget,"Rey Misterio, Sr., Irwin Keyes, Leyla Milani",United States,"Horror[78]
"
X-Men: The Last Stand,Brett Ratner,"Hugh Jackman, Halle Berry, Ian McKellen, Anna Paquin, Patrick Stewart",United StatesUnited Kingdom,"[nb 20] Superhero
"
Zerophilia,Martin Curland,"Taylor Handley, Dustin Seavey",United States,"Romantic comedy
"
Aliens vs. Predator: Requiem,"Greg Strause, Colin Strause","Reiko Aylesworth, Steven Pasquale, Shareeka Epps",United States,"Action horror
"
Appleseed Ex Machina,Shinji Aramaki,,Japan,"Anime
"
28 Weeks Later,Juan Carlos Fresnadillo,"Robert Carlyle, Rose Byrne, Jeremy Renner",SpainUnited StatesUnited Kingdom,"Post-apocalyptic horror
"
Big Man Japan,Hitoshi Matsumoto,"Hitoshi Matsumoto, Riki Takeuchi, Ua",Japan,"Comedy
"
Chrysalis,Julien Leclercq,"Albert Dupontel, Estelle Lefébure, Marie Guillard",France,"Crime drama
"
Eden Log,Franck Vestiel,"Clovis Cornillac, Vimala Pons,",France,"Horror mystery
"
"Evangelion: 1.0 You Are (Not) Alone
","Hideaki Anno
","Megumi Ogata (voice), Megumi Hayashibara (voice), Kotono Mitsuishi (voice)
","Japan
","Anime
"
Fantastic Four: Rise of the Silver Surfer,Tim Story,"Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis",United States,"Action adventure
"
Flatland The Film,Ladd Ehlinger Jr.,,United States,"Animation
"
I Am Legend,Francis Lawrence,"Will Smith, Alice Braga, Salli Richardson-Whitfield",United States,"[nb 21] Post-apocalyptic thriller
"
Illegal Aliens,David Giancola,"Joanie ""Chyna"" Laurer, Anna Nicole Smith, Dennis Lemoine",United States,"Comedy
"
The Invasion,Oliver Hirschbiegel,"Nicole Kidman, Daniel Craig, Jeremy Northam",United States,"Thriller
"
The Last Mimzy,Bob Shaye,"Chris O'Neil, Rhiannon Leigh Wryn, Timothy Hutton",United States,"Family adventure
"
Meet the Robinsons,Stephen Anderson,,United States,"Animation
"
The Mist,Frank Darabont,"Thomas Jane, Marcia Gay Harden",United States,"Horror
"
Next,Lee Tamahori,"Nicolas Cage, Julianne Moore, Jessica Biel",United States,"Action thriller
"
"Paragraf 78, Punkt 1",Mikhail Khleborodov,,Russia,"[79] Action thriller
"
Proxima,Carlos Atanes,"Oriol Aubets, Anthony Blake, Arantxa Peña",Spain,"Underground
"
Resident Evil: Extinction,Russell Mulcahy,"Milla Jovovich, Oded Fehr, Ali Larter",United States,"Action horror
"
Sex and Death 101,Daniel Waters,"Simon Baker, Winona Ryder, Leslie Bibb, Patton Oswalt",United States,"Dark Comedy
"
Spider-Man 3,Sam Raimi,"Tobey Maguire, Kirsten Dunst, James Franco",United States,"[80] Superhero
"
Sunshine,Danny Boyle,"Cillian Murphy, Chris Evans, Rose Byrne",United StatesUnited Kingdom,"Thriller
"
Superman: Doomsday,"Bruce Timm, Lauren Montgomery, Brandon Vietti","Adam Baldwin, Anne Heche, James Marsters",United States,"Animated superhero film[81]
"
Timecrimes,Nacho Vigalondo,"Karra Elejalde, Barbara Goenaga, Nacho Vigalondo",Spain,"Time-travel mystery
"
TMNT,Kevin Munroe,"Chris Evans (voice), Sarah Michelle Gellar (voice), Patrick Stewart (voice), Mako (voice)",United StatesHong Kong,"Animation
"
Tokyo Gore Police,Yoshihiro Nishimura,"Eihi Shiina, Itsuji Itao, Yukihide Benny",Japan,"[82]
"
Transformers,Michael Bay,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson",United States,"Action thriller
"
The Man from Earth,,John Billingsley,United States,"Drama
"
