movie_name,director,cast_name,country_name,subgenre_name
The 6th Day,Roger Spottiswoode,"Arnold Schwarzenegger, Tony Goldwyn, Michael Rapaport",United States,"Action thriller[1]
"
Amazone,Philippe de Broca,"Jean-Paul Belmondo, Arielle Dombasle, Patrick Bouchitey",FranceSpain,"Adventure comedy[2]
"
Battlefield Earth,Roger Christian,"John Travolta, Barry Pepper, Forest Whitaker",United States,"Action[3][nb 1]
"
The Cell,Tarsem Singh,"Jennifer Lopez, Vince Vaughn, Vincent D'Onofrio",United States,"Psychological thriller[4]
"
Escaflowne,Kazuki Akane,,Japan,"Action anime[5]
"
Godzilla vs. Megaguirus,Masaaki Tezuka,"Misako Tanaka, Shosuke Tanihara, Masato Ibu",Japan,"Monster movie[6]
"
Happy Accidents,Brad Anderson,"Marisa Tomei, Vincent D'Onofrio",United States,"Romantic comedy
"
Hollow Man,Paul Verhoeven,"Kevin Bacon, Elisabeth Shue, Josh Brolin",United States,"Action thriller[7]
"
I.K.U.,Shu Lea Cheang,Aja,Japan,"Adult film[8]
"
Mission to Mars,Brian De Palma,"Gary Sinise, Tim Robbins, Don Cheadle",United States,"Adventure drama[9]
"
Pitch Black,David N. Twohy,"Radha Mitchell, Vin Diesel, Cole Hauser",United States,"Thriller[10]
"
Possible Worlds,Robert Lepage,"Tilda Swinton, Tom McCamus, Sean McCann",Canada,"Crime mystery[11]
"
Red Planet,Antony Hoffman,"Val Kilmer, Carrie-Anne Moss, Benjamin Bratt, Tom Sizemore",United States,"Action thriller[12]
"
Space Cowboys,Clint Eastwood,"Clint Eastwood, Tommy Lee Jones, Donald Sutherland, James Garner",United States,"Action adventure[13]
"
Supernova,Thomas Lee,"James Spader, Angela Bassett, Robert Forster, Lou Diamond Phillips",United States,"Horror thriller[14]
"
Titan A.E.,"Don Bluth, Gary Goldman","Matt Damon (voice), Bill Pullman (voice), John Leguizamo (voice), Nathan Lane (voice), Drew Barrymore (voice)",United States,"Animated adventure[15]
"
Unbreakable,M. Night Shyamalan,"Bruce Willis, Samuel L. Jackson",United States,"Superhero
"
What Planet Are You From?,Mike Nichols,"Garry Shandling, Annette Bening, Greg Kinnear",United States,"Comedy[16]
"
X-Men,Bryan Singer,"Hugh Jackman, Patrick Stewart, Ian McKellen, Halle Berry, Anna Paquin",United States,"Action[nb 2][17]
"
A.I. Artificial Intelligence,Steven Spielberg,"Haley Joel Osment, Jude Law, Frances O'Connor",United States,"[18][nb 3] Drama adventure
"
Atlantis: The Lost Empire,"Gary Trousdale, Kirk Wise","Michael J. Fox (voice), James Garner (voice), Leonard Nimoy (voice)",United States,"[19] Animation
"
Avalon,Mamoru Oshii,"Małgorzata Foremniak, Wladyslaw Kowalski, Jerzy Gudejko",Japan,"[20] Fantasy drama
"
The American Astronaut,Cory McAbee,"Rocco Sisto, Annie Golden",United States,"[21] Musical comedy
"
Donnie Darko,Richard Kelly,"Jake Gyllenhaal, Jena Malone, Drew Barrymore",United States,"Psychological thriller
"
Electric Dragon 80.000 V,Sogo Ishii,Masatoshi Nagase,Japan,"[22] Fantasy drama
"
Evolution,Ivan Reitman,"David Duchovny, Orlando Jones, Seann William Scott",United States,"[23] Comedy
"
Final,Campbell Scott,"Denis Leary, Hope Davis, Maureen Anderman",United States,"[24] Drama thriller
"
Final Fantasy: The Spirits Within,"Hironobu Sakaguchi, Motonori Sakakibara",,United States,"[25] Animation
"
Ghosts of Mars,John Carpenter,"Ice Cube, Natasha Henstridge, Jason Statham",United States,"[26] Action horror
"
"Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack",Shusuke Kaneko,,Japan,"[27] Kaiju
"
Jason X,James Isaac,Kane Hodder,United States,"Slasher film
"
Jimmy Neutron: Boy Genius,John A. Davis,,United States,"Animation
"
Jurassic Park III,Joe Johnston,"Sam Neill, William H. Macy, Téa Leoni",United States,"[28] Action adventure
"
K-PAX,Iain Softley,"Kevin Spacey, Jeff Bridges, Mary McCormack",United States,"[29] Mystery drama
"
The Lost Skeleton of Cadavra,Larry Blamire,"Larry Blamire, Fay Masterson, Brian Howe",United States,"[30] Comedy spoof
"
Metropolis,Rintaro,,Japan,"[31] Anime
"
Mimic 2,Jean de Segonzac,"Alix Koromzay, Bruno Campos, Will Estes, Jon Polito",United States,"Horror
"
Mind Storm,Richard Pepin,"Antonio Sabato, Jr., Emmanuelle Vaugier, Eric Roberts",United States,"[32][33] Horror mystery
"
Nabi,Moon Seung-wook,"Kim Ho-jung, Kang Hye-jung, Jang Hyun-sung",South Korea,"[nb 4] Psychological drama
"
The One,James Wong,"Jet Li, Carla Gugino, Delroy Lindo",United States,"[34] Action thriller
"
Planet of the Apes,Tim Burton,"Mark Wahlberg, Tim Roth, Helena Bonham Carter",United States,"[nb 5][35] Action adventure
"
The Princess Blade,Shinsuke Sato,"Hideaki Itō, Yumiko Shaku, Shiro Sano",Japan,"[36] Action
"
Replicant,Ringo Lam,"Jean-Claude Van Damme, Michael Rooker",United States,"[37] Action thriller
"
Vanilla Sky,Cameron Crowe,"Tom Cruise, Penélope Cruz, Cameron Diaz",United States,"[38] Psychological thriller
"
28 Days Later,Danny Boyle,"Cillian Murphy, Naomie Harris, Brendan Gleeson",United Kingdom,"[39] Horror
"
2009 Lost Memories,Lee Si-myung,"Jang Dong-gun, Toru Nakamura",South Korea,"Action thriller
"
The Adventures of Pluto Nash,Ron Underwood,"Eddie Murphy, Randy Quaid, Rosario Dawson",United States,"Comedy[40]
"
Clockstoppers,Jonathan Frakes,"Jesse Bradford, French Stewart",United States,"[41] Comedy
"
Cowboy Bebop: The Movie,"Shinichiro Watanabe, Yoshiyuki Takei",,Japan,"[42] Anime crime action
"
Cube 2: Hypercube,Andrzej Sekuła,"Kari Matchett, Geraint Wyn Davies, Grace Lynn Kung",Canada,"[43] Psychological thriller, horror
"
Cypher,Vincenzo Natali,"Jeremy Northam, Lucy Liu",United States,"[44] Thriller
"
Dead or Alive: Final,Takashi Miike,"Show Aikawa, Riki Takeuchi",Japan,"[45] Cyberpunk
"
Eight Legged Freaks,Ellory Elkayem,"David Arquette, Kari Wührer, Scott Terra",United States,"[46] Comedy horror
"
Equilibrium,Kurt Wimmer,"Christian Bale, Emily Watson, Taye Diggs",United States,"[47] Action
"
Godzilla Against Mechagodzilla,Masaaki Tezuka,"Yumiko Shaku, Kana Onodera, Shin Takuma",Japan,"[48] Kaiju
"
Happy Here and Now,Michael Almereyda,"Karl Geary, Shalom Harlow, Clarence Williams III",United States,"[49] Drama
"
Impostor,Gary Fleder,"Gary Sinise, Madeleine Stowe, Vincent D'Onofrio",United States,"Action thriller
"
Jason X,James Isaac,"Kane Hodder, Lexa Doig, Lisa Ryder, Chuck Campbell",CanadaUnited States,"[50] Horror slasher
"
The Last Man,Harry Ralston,"David Arnott, Jeri Ryan, Dan Montgomery",United States,"Post apocalyptic comedy drama
"
Men in Black II,Barry Sonnenfeld,"Tommy Lee Jones, Will Smith, Lara Flynn Boyle, Rosario Dawson",United States,"[51] Action comedy
"
Minority Report,Steven Spielberg,"Tom Cruise, Colin Farrell, Samantha Morton",United States,"[nb 6][52] Action mystery
"
Project Viper,Jay Andrews,"Theresa Russell, Patrick Muldoon, Tim Thomerson",United States,"[53] Action horror
"
Reign of Fire,Rob Bowman,"Christian Bale, Matthew McConaughey, Izabella Scorupco",United States,"Action[54]
"
Resident Evil,Paul W. S. Anderson,"Milla Jovovich, Oscar Pearce, Indra Ové",United States,"Horror[55]
"
Returner,Takashi Yamazaki,"Takeshi Kaneshiro, Anne Suzuki, Kirin Kiki",Japan,"[56] Action adventure
"
Rollerball,John McTiernan,"Chris Klein, Jean Reno, LL Cool J",United States,"[57] Action
"
Simone,Andrew Niccol,"Al Pacino, Catherine Keener, Pruitt Taylor Vince",United States,"Comedy
"
Science Fiction,Danny Deprez,"Wendy Van Dijk, Koen De Bouw, Liesbeth Kamerling",Netherlands,"[58] Family adventure
"
Scorcher,James Seale,"Mark Dacascos, John Rhys-Davies, Tamara Davies, Mark Rolston, Rutger Hauer",United States,"Action adventure
"
Signs,M. Night Shyamalan,"Mel Gibson, Joaquin Phoenix, Cherry Jones",United States,"[59] Thriller
"
So Close,Corey Yuen,"Shu Qi, Zhao Wei, Karen Mok",United KingdomHong Kong,"Action[60]
"
Solaris,Steven Soderbergh,"George Clooney, Natascha McElhone, Jeremy Davies",United States,"[61] Psychological drama
"
Spider-Man,Sam Raimi,"Tobey Maguire, Willem Dafoe, Kirsten Dunst",United States,"Fantasy action adventure[nb 7]
"
