The Phantom Empire,"Otto Brower, B. Reeves Eason",23 February 1935,"Gene Autry, Frankie Darro, Betsy King Ross",United States
Loss of Sensation,Alexandr Andriyevsky,"April 17, 1935","Sergey Vecheslov, Vladimir Gardin",Soviet Union
Bride of Frankenstein,James Whale,22 April 1935,"Boris Karloff, Colin Clive, Valerie Hobson",United States
Air Hawks,Albert S. Rogell,7 May 1935,"Ralph Bellamy, Tala Birell, Wiley Post",United States
The Tunnel,Maurice Elvey,25 October 1935,"Richard Dix, Leslie Banks, Madge Evans",United Kingdom
The Invisible Ray,Lambert Hillyer,20 January 1936,"Boris Karloff, Bela Lugosi, Frances Drake",United States
Kosmicheskiy reys,Vassili Jouravlev,21 January 1936,,Soviet Union
Things to Come,William Cameron Menzies,February 1936,"Raymond Massey, Cedric Hardwicke, Edward Chapman",United Kingdom
Flash Gordon,Frederick Stephani,6 April 1936,"Larry ""Buster"" Crabbe, Jean Rogers, Charles B. Middleton",United States
The Walking Dead,Michael Curtiz,14 March 1936,"Boris Karloff, Ricardo Cortez, Edmund Gwenn",United States
Undersea Kingdom,"B. Reeves Eason, Joseph Kane",30 May 1936,"Ray ""Crash"" Corrigan, Lois Wilde",United States
Ghost Patrol,Sam Newfield,3 August 1936,"Tim McCoy, Claudia Dell, Walter Miller",United States
The Man Who Changed His Mind,Robert Stevenson,September 1936,"Boris Karloff, Anna Lee, John Loder",United Kingdom
Non-Stop New York,Robert Stevenson,September 1937,"John Loder, Anna Lee, Francis L. Sullivan",United Kingdom
Skeleton on Horseback,Hugo Haas,21 December 1937,"Hugo Haas, Bedrich Karen, Zdenek Stephanek",Czechoslovakia
Flash Gordon's Trip to Mars,"Ford Beebe, Robert F. Hill",31 March 1938,"Larry ""Buster"" Crabbe, Jean Rogers, Charles B. Middleton",United States
Flight to Fame,C. C. Coleman Jr.,12 October 1938,"Charles Farrell, Jacqueline Wells, Hugh Sothern",United States
Son of Frankenstein,Rowland V. Lee,13 January 1939,"Basil Rathbone, Boris Karloff, Bela Lugosi",United States
Buck Rogers,"Ford Beebe, Saul A. Goodkind",11 April 1939,"Larry ""Buster"" Crabbe, Constance Moore, Jackie Moran",United States
The Man They Could Not Hang,Nick Grinde,17 August 1939,"Boris Karloff, Lorna Gray, Robert Wilcox",United States
The Phantom Creeps,Ford Beebe,August 1939,"Bela Lugosi, Robert Kent, Dorothy Arnold",United States
The Return of Doctor X,Vincent Sherman,23 November 1939,"Humphrey Bogart, Rosemary Lane, Wayne Morris",United States
