movie_name,director,cast_name,country_name,subgenre_name
Don't Look Up,Adam McKay,"Leonardo DiCaprio, Jennifer Lawrence, Meryl Streep, Cate Blanchett, Rob Morgan, Jonah Hill, Mark Rylance, Tyler Perry, Timothée Chalamet, Ron Perlman, Ariana Grande, Scott Mescudi",United States,"Black Comedy Film
"
Dune,Denis Villeneuve,"Timothée Chalamet, Rebecca Ferguson, Stellan Skarsgård",United States,"
"
Encounter,Michael Pearce,"Riz Ahmed, Octavia Spencer",United Kingdom,"
"
Evangelion: 3.0+1.0 Thrice Upon a Time,Hideaki Anno,,Japan,"
"
Finch,Miguel Sapochnik,"Tom Hanks, Caleb Landry Jones",United States,"
"
The Forever Purge,Everardo Gout,"Ana de la Reguera, Tenoch Huerta",United States,"
"
Glasshouse,Kelsey Egan,"Jessica Alexander, Anja Taljaard, Hilton Pelser, Adrienne Pearce, Kitty Harris, Brent Vermeulen",South Africa,"
"
Godzilla vs. Kong,Adam Wingard,"Kyle Chandler, Zhang Ziyi, Millie Bobby Brown",United States,"
"
Little Fish,Chad Hartigan,"Olivia Cooke, Jack O'Connell, Raúl Castillo, Soko",United States,"
"
The Matrix Resurrections,Lana Wachowski,"Keanu Reeves, Carrie-Anne Moss",United States,"
"
Mother/Android,Mattson Tomlin,"Chloë Grace Moretz, Algee Smith, Raúl Castillo",United States,"
"
Needle in a Timestack,John Ridley,"Leslie Odom Jr., Freida Pinto",United States,"
"
Night Raiders,Danis Goulet,"Elle-Máijá Tailfeathers, Brooklyn Letexier-Hart, Alex Tarrant, Amanda Plummer, Violet Nelson",CanadaNew Zealand,"
"
Outside the Wire,Mikael Håfström,"Anthony Mackie, Damson Idris, Emily Beecham",United States,"
"
Oxygen,Alexandre Aja,"Mélanie Laurent, Mathieu Amalric, Malik Zidi",France,"
"
Reminiscence,Lisa Joy,"Hugh Jackman, Rebecca Ferguson",United States,"
"
Settlers,Wyatt Rockefeller,"Sofia Boutella, Ismael Cruz Córdova, Jonny Lee Miller",United Kingdom,"
"
Stowaway,Joe Penna,"Anna Kendrick, Daniel Dae Kim, Shamier Anderson, Toni Collette",United StatesGermany,"Thriller Film
"
Space Sweepers,Jo Sung-hee,"Song Joong-ki, Kim Tae-ri",South Korea,"
"
Spider-Man: No Way Home,Jon Watts,"Tom Holland, Zendaya, Benedict Cumberbatch",United States,"Superhero
"
Strawberry Mansion,"Albert Birney, Kentucker Audley","Penny Fuller, Kentucker Audley, Grace Glowicki, Reed Birney, Linas Phillips, Constance Shulman",United States,"Surrealist
"
The Suicide Squad,James Gunn,"Margot Robbie, Idris Elba, John Cena",United States,"
"
Tides,Tim Fehlbaum,"Nora Arnezeder, Sarah-Sofie Boussnina, Iain Glen",SwitzerlandGermany,"
"
The Tomorrow War,Chris McKay,"Chris Pratt, Yvonne Strahovski, J. K. Simmons",United States,"
"
Venom: Let There Be Carnage,Andy Serkis,"Tom Hardy, Woody Harrelson",United States,"
"
Voyagers,Neil Burger,"Colin Farrell, Tye Sheridan, Lily-Rose Depp",United States,"
"
Warning,Agata Alexander,"Alex Pettyfer, Alice Eve, Annabelle Wallis, Benedict Samuel, Charlotte Le Bon, Thomas Jane, Patrick Schwarzenegger, Rupert Everett, Tomasz Kot, Kylie Bunbury, Garance Marillier",United StatesPoland,"
"
Zack Snyder's Justice League,Zack Snyder,"Ben Affleck, Henry Cavill, Amy Adams, Gal Gadot, Ray Fisher, Jason Momoa, Ezra Miller, Willem Dafoe, Jesse Eisenberg, Jeremy Irons,Diane Lane,Connie Nielsen, J. K. Simmons",United States,"Superhero
"
Zone 414,Andrew Baird,"Guy Pearce, Matilda Lutz, Travis Fimmel",United States,"
"
Bigbug,Jean-Pierre Jeunet,Elsa Zylberstein,France,"
"
Moonfall,Roland Emmerich,"Halle Berry, Patrick Wilson",United States,"
"
