movie_name,director,cast_name,country_name,subgenre_name
2067,Seth Larney,"Kodi Smit-McPhee, Ryan Kwanten",Australia,"
"
Archive,Gavin Rothery,"Theo James, Stacy Martin, Rhona Mitra, Peter Ferdinando, Toby Jones",United Kingdom,"
"
Artemis Fowl,Kenneth Branagh,"Ferdia Shaw, Lara McDonnell, Josh Gad",United States,"
"
Bill & Ted Face the Music,Dean Parisot,"Keanu Reeves, Alex Winter, William Sadler",United States,"
"
Bloodshot,David S. F. Wilson,"Vin Diesel, Eiza González, Guy Pearce",United States,"
"
Breach,John Suits,"Bruce Willis, Rachel Nichols, Thomas Jane",United States,"
"
Color Out of Space,Richard Stanley,"Nicolas Cage, Joely Richardson",United States,"
"
Cosmoball,Dzhanik Fayziev,"Yevgeny Romantsov, Viktoriya Agalakova, Maria Lisovaya",Russia,"
"
Freaks: You're One of Us,Felix Binder,"Finnlay Berger, Thelma Buabeng, Gisa Flake",Germany,"Superhero Film
"
Friend of the World,Brian Patrick Butler,"Nick Young, Alexandra Slade, Michael C. Burgess",United States,"Thriller
"
Invasion,Fyodor Bondarchuk,"Irina Starshenbaum, Rinal Mukhametov, Alexander Petrov",Russia,"
"
The Invisible Man,Leigh Whannell,"Elisabeth Moss, Oliver Jackson-Cohen",United States,"
"
Jiu Jitsu,Dimitri Logothetis,"Alain Moussi, Frank Grillo, JuJu Chan, Nicolas Cage",United States,"
"
"Love and Monsters
","Michael Matthews
","Dylan O'Brien, Jessica Henwick, Dan Ewing,Ariana Greenblatt, Michael Rooker,
","United States
","Monster Adventure
"
The Midnight Sky,George Clooney,"George Clooney, Felicity Jones",United States,"
"
Minor Premise,Eric Schultz,"Sathya Sridharan, Paton Ashbrook, Dana Ashbrook",United States,"Thriller
"
The New Mutants,Josh Boone,"Anya Taylor-Joy, Maisie Williams, Charlie Heaton, Henry Zaga, Blu Hunt",United States,"
"
PG: Psycho Goreman,Steven Kostanski,"Nita-Josee Hanna, Owen Myre, Matthew Ninaber",Canada,"
"
Possessor,Brandon Cronenberg,"Christopher Abbott, Andrea Riseborough, Sean Bean",CanadaUnited KingdomUnited States,"
"
Project Power,Ariel Schulman and Henry Joost,"Jamie Foxx, Joseph Gordon-Levitt, Dominique Fishback",United States,"
"
Skylines,Liam O'Donnell,"Lindsey Morgan, Rhona Mitra, Alexander Siddig",United States,"
"
Sonic the Hedgehog,Jeff Fowler,"Ben Schwartz, Jim Carrey, James Marsden",United States,"
"
Sputnik,Egor Abramenko,"Oksana Akinshina, Fyodor Bondarchuk, Pyotr Fyodorov",Russia,"
"
Tenet,Christopher Nolan,"John David Washington, Robert Pattinson, Elizabeth Debicki",United KingdomUnited States,"
"
Tiong Bahru Social Club,Tan Bee Thiam,"Thomas Pang, Guat Kian Goh, Jalyn Han",Singapore,"
"
Chaos Walking,Doug Liman,"Tom Holland, Daisy Ridley",United States,"
"
Cosmic Sin,Edward John Drake,"Bruce Willis, Frank Grillo",United States,"
"
Cube,Yasuhiko Shimizu,"Masaki Suda, Masaki Okada",Japan,"
"
